Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 15:16:15.297400,32.946,33.839,32.022,32.009,27.289,24.126
2022-04-14 15:16:25.656400,32.948,33.841,32.009,32.006,27.273,24.126
2022-04-14 15:16:36.011400,32.961,33.867,32.003,32.006,27.291,24.116
2022-04-14 15:16:46.366400,32.948,33.833,32.001,32.006,27.289,24.113
2022-04-14 15:16:56.721400,32.951,33.839,32.019,32.006,27.307,24.105
2022-04-14 15:17:08.564400,32.935,33.857,32.001,32.006,27.302,24.097
2022-04-14 15:17:18.920400,32.94,33.846,32.001,32.001,27.302,24.092
2022-04-14 15:17:29.278400,32.954,33.849,32.014,31.996,27.318,24.111
2022-04-14 15:17:39.633400,32.943,33.873,32.001,32.009,27.323,24.116
2022-04-14 15:17:49.989400,32.956,33.867,32.003,32.017,27.36,24.116
2022-04-14 15:18:00.345400,32.938,33.862,32.03,32.03,27.346,24.111
2022-04-14 15:18:10.701400,32.948,33.86,32.03,32.02,27.352,24.129
2022-04-14 15:18:21.057400,32.954,33.867,32.04,32.027,27.365,24.097
2022-04-14 15:18:31.415400,32.943,33.878,32.019,32.012,27.386,24.097
2022-04-14 15:18:41.770400,32.956,33.873,32.035,32.017,27.399,24.116
2022-04-14 15:18:53.610400,32.94,33.875,32.043,32.009,27.396,24.111
2022-04-14 15:19:03.967400,32.959,33.865,32.04,32.046,27.417,24.09
2022-04-14 15:19:14.322400,32.961,33.894,32.027,32.033,27.412,24.111
2022-04-14 15:19:24.677400,32.959,33.883,32.003,32.022,27.42,24.087
2022-04-14 15:19:35.033400,33.003,33.922,32.024,32.056,27.458,24.105
2022-04-14 15:19:45.389400,33.019,33.933,32.046,32.057,27.467,24.142
2022-04-14 15:19:55.744400,33.05,33.971,32.059,32.102,27.488,24.145
2022-04-14 15:20:06.099400,33.045,33.969,32.085,32.093,27.484,24.155
2022-04-14 15:20:16.454400,33.076,33.985,32.1,32.133,27.505,24.17
2022-04-14 15:20:26.811400,33.055,33.967,32.091,32.117,27.519,24.17
2022-04-14 15:20:38.693400,33.026,33.937,32.086,32.104,27.524,24.169
2022-04-14 15:20:49.048400,33.008,33.957,32.078,32.097,27.543,24.214
2022-04-14 15:20:59.402400,33.008,33.93,32.061,32.09,27.527,24.231
2022-04-14 15:21:09.757400,32.987,33.946,32.071,32.116,27.543,24.239
